Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
6/14/20,Amazon.com,,6/15/20,Shipped,$89.99 ,$0.00 ,$3.40 ,$56.00 ,$3.40 ,$37.39 
8/31/20,Amazon.com,,8/31/20,Shipped,$76.21 ,$2.24 ,$7.63 ,$2.24 ,$7.63 ,$83.84 
8/31/20,Amazon.com,,8/31/20,Shipped,$56.69 ,$0.75 ,$5.67 ,$0.75 ,$5.67 ,$62.36 
8/31/20,Amazon.com,,8/31/20,Shipped,$124.99 ,$0.00 ,$12.50 ,$0.00 ,$12.50 ,$137.49 
9/1/20,Amazon.com,,9/1/20,Shipped,$34.99 ,$0.00 ,$3.50 ,$0.00 ,$3.50 ,$38.49 
9/1/20,Amazon.com,,9/1/20,Shipped,$10.99 ,$0.00 ,$1.10 ,$0.00 ,$1.10 ,$12.09 
9/1/20,Amazon.com,,9/1/20,Shipped,$43.99 ,$0.00 ,$4.40 ,$0.00 ,$4.40 ,$48.39 
9/1/20,Amazon.com,,9/1/20,Shipped,$17.05 ,$0.00 ,$1.71 ,$0.00 ,$1.71 ,$18.76 
9/1/20,Amazon.com,,9/1/20,Shipped,$28.82 ,$0.00 ,$2.88 ,$0.00 ,$2.88 ,$31.70 
9/1/20,Amazon.com,,9/1/20,Shipped,$14.86 ,$0.00 ,$1.49 ,$0.00 ,$1.49 ,$16.35 
9/1/20,Amazon.com,,9/2/20,Shipped,$19.99 ,$0.00 ,$2.00 ,$0.00 ,$2.00 ,$21.99 
9/1/20,Amazon.com,,9/1/20,Shipped,$16.95 ,$0.00 ,$1.70 ,$0.00 ,$1.70 ,$18.65 
9/12/20,Amazon.com,,9/14/20,Shipped,$8.99 ,$0.00 ,$0.90 ,$0.00 ,$0.90 ,$9.89 
9/12/20,Amazon.com,,9/15/20,Shipped,$19.99 ,$0.00 ,$2.00 ,$0.00 ,$2.00 ,$21.99 
9/13/20,Amazon.com,,9/15/20,Shipped,$19.99 ,$0.00 ,$2.00 ,$0.00 ,$2.00 ,$21.99 
9/13/20,Amazon.com,,9/14/20,Shipped,$149.99 ,$0.00 ,$15.00 ,$0.00 ,$15.00 ,$164.99 
9/24/20,Amazon.com,,9/24/20,Shipped,$17.99 ,$0.00 ,$1.80 ,$0.00 ,$1.80 ,$19.79 
9/30/20,Amazon.com,,10/1/20,Shipped,$20.99 ,$0.00 ,$2.10 ,$0.00 ,$2.10 ,$23.09 
10/8/20,Amazon.com,,10/8/20,Shipped,$16.95 ,$0.00 ,$1.70 ,$0.00 ,$1.70 ,$18.65 
10/10/20,Amazon.com,,10/11/20,Shipped,$2.99 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$3.29 
10/11/20,Amazon.com,,10/11/20,Shipped,$12.99 ,$0.00 ,$1.30 ,$0.00 ,$1.30 ,$14.29 
10/13/20,Amazon.com,,10/13/20,Shipped,$128.48 ,$2.99 ,$10.00 ,$31.48 ,$10.00 ,$109.99 
10/13/20,Amazon.com,,10/13/20,Shipped,$10.39 ,$0.00 ,$1.04 ,$0.00 ,$1.04 ,$11.43 
10/13/20,Amazon.com,,10/15/20,Shipped,$11.95 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$13.15 
10/13/20,Amazon.com,,10/14/20,Shipped,$10.99 ,$0.00 ,$1.10 ,$0.00 ,$1.10 ,$12.09 
10/13/20,Amazon.com,,10/14/20,Shipped,$128.48 ,$0.00 ,$10.00 ,$28.49 ,$10.00 ,$109.99 
10/15/20,Amazon.com,,10/16/20,Shipped,$10.99 ,$0.00 ,$1.10 ,$0.00 ,$1.10 ,$12.09 
10/15/20,Amazon.com,,10/16/20,Shipped,$13.95 ,$0.00 ,$1.40 ,$0.00 ,$1.40 ,$15.35 
10/26/20,Amazon.com,,10/27/20,Shipped,$16.99 ,$0.00 ,$1.70 ,$0.00 ,$1.70 ,$18.69 
11/7/20,Amazon.com,,11/8/20,Shipped,$4.99 ,$0.00 ,$0.50 ,$0.00 ,$0.50 ,$5.49 
11/7/20,Amazon.com,,11/8/20,Shipped,$26.49 ,$0.00 ,$2.65 ,$0.00 ,$2.65 ,$29.14 
11/22/20,Amazon.com,,11/22/20,Shipped,$60.56 ,$0.00 ,$5.86 ,$2.00 ,$5.86 ,$64.42 
11/26/20,Amazon.com,,11/27/20,Shipped,$31.99 ,$0.00 ,$3.20 ,$0.00 ,$3.20 ,$35.19 
11/28/20,Amazon.com,,12/1/20,Shipped,$18.71 ,$0.00 ,$1.87 ,$0.00 ,$1.87 ,$20.58 
11/30/20,Amazon.com,,12/1/20,Shipped,$215.99 ,$0.00 ,$21.60 ,$0.00 ,$21.60 ,$237.59 
12/1/20,Amazon.com,,12/1/20,Shipped,$27.99 ,$0.00 ,$2.80 ,$0.00 ,$2.80 ,$30.79 
12/5/20,Amazon.com,,12/6/20,Shipped,$19.99 ,$0.00 ,$1.90 ,$1.00 ,$1.90 ,$20.89 
12/6/20,Amazon.com,,12/10/20,Shipped,$22.48 ,$0.00 ,$2.25 ,$0.00 ,$2.25 ,$24.73 
12/6/20,Amazon.com,,12/7/20,Shipped,$7.95 ,$0.00 ,$0.80 ,$0.00 ,$0.80 ,$8.75 
12/7/20,Amazon.com,,12/7/20,Shipped,$19.99 ,$0.00 ,$1.60 ,$4.00 ,$1.60 ,$17.59 
12/8/20,Amazon.com,,12/9/20,Shipped,$12.95 ,$0.00 ,$1.30 ,$0.00 ,$1.30 ,$14.25 
12/14/20,Amazon.com,,12/14/20,Shipped,$29.99 ,$0.00 ,$3.00 ,$0.00 ,$3.00 ,$32.99 
12/15/20,Amazon.com,,12/15/20,Shipped,$19.99 ,$0.00 ,$1.90 ,$1.00 ,$1.90 ,$20.89 
12/18/20,Amazon.com,,12/19/20,Shipped,$179.97 ,$0.00 ,$18.00 ,$0.00 ,$18.00 ,$197.97 
12/18/20,Amazon.com,,12/19/20,Shipped,$16.99 ,$0.00 ,$1.70 ,$0.00 ,$1.70 ,$18.69 
12/20/20,Amazon.com,,12/21/20,Shipped,$15.99 ,$0.00 ,$1.60 ,$0.00 ,$1.60 ,$17.59 
12/24/20,Amazon.com,,12/26/20,Shipped,$13.77 ,$0.00 ,$1.38 ,$0.00 ,$1.38 ,$15.15 
12/30/20,Amazon.com,,12/30/20,Shipped,$5.95 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$6.55 
12/30/20,Amazon.com,,1/1/21,Shipped,$15.00 ,$0.00 ,$1.50 ,$0.00 ,$1.50 ,$16.50 
1/6/21,Amazon.com,,1/7/21,Shipped,$16.96 ,$0.00 ,$1.72 ,$0.00 ,$1.72 ,$18.68 
1/6/21,Amazon.com,,1/8/21,Shipped,$5.95 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$6.55 
1/11/21,Amazon.com,,1/13/21,Shipped,$19.99 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$22.01 
1/11/21,Amazon.com,,1/12/21,Shipped,$24.99 ,$0.00 ,$2.52 ,$0.00 ,$2.52 ,$27.51 
